width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
320,0.85,0,8,17298,True,24.9,2,23,23,1.9,1,
320,0.85,0,9,16926,True,28.9,2,27,27,1.9,0,
320,0.85,0,10,17522,True,23.7,2,22,22,1.7,0,
320,0.85,0,11,17773,True,24.4,2,22,22,2.4,0,
320,0.85,0,12,16753,True,23.7,2,22,22,1.7,0,
320,0.85,0,13,17228,True,23.4,2,22,22,1.4,0,
320,0.85,0,14,16689,True,23.8,2,22,22,1.8,0,
320,0.85,0,15,17452,True,23.4,2,21,22,1.4,0,
320,0.85,0,16,17671,True,23.6,2,22,22,1.6,0,
320,0.85,0,17,16666,True,23.3,2,22,22,1.3,0,
320,0.85,0,18,17213,True,23.4,2,22,22,1.4,0,
320,0.85,0,19,16511,True,28.3,2,26,27,1.3,0,
320,0.85,0,20,17367,True,23.4,2,21,22,1.4,0,
320,0.85,0,21,16834,True,25.4,2,24,24,1.4,1,
320,0.85,0,22,16523,True,23.4,2,22,22,1.4,0,
320,0.85,0,23,17251,True,23.5,2,22,22,1.5,0,
320,0.85,0,24,16250,True,23.7,2,22,22,1.7,0,
320,0.85,0,25,16993,True,23.5,2,22,22,1.5,0,
320,0.85,0,26,16743,True,24.1,2,22,22,2.1,0,
320,0.85,0,27,15864,True,23.5,2,22,22,1.5,0,
320,0.85,0,28,16513,True,23.3,2,21,21,2.3,0,
320,0.85,0,29,15648,True,23.3,2,21,21,2.3,0,
320,0.85,0,30,15423,True,28.3,2,26,27,1.3,0,
320,0.85,0,31,13983,True,24.0,2,22,22,2.0,0,
320,0.85,0,32,15034,True,24.6,2,23,23,1.6,1,
320,0.85,0,33,13204,True,24.4,2,23,23,1.4,1,
320,0.85,0,34,13457,True,24.4,2,23,23,1.4,1,
320,0.85,0,35,13274,True,24.4,2,23,23,1.4,1,
320,0.85,0,36,13138,True,25.1,2,23,23,2.1,1,
320,0.85,0,37,12684,True,24.4,2,23,23,1.4,1,
320,0.85,0,38,12494,True,24.6,2,23,23,1.6,1,
320,0.85,0,39,12845,True,24.5,2,23,23,1.5,1,
320,0.85,0,40,12506,True,30.7,2,29,29,1.7,1,
320,0.85,0,41,13123,True,25.7,2,24,24,1.7,1,
320,0.85,0,42,12820,True,26.0,2,24,24,2.0,1,
320,0.85,0,43,13138,True,27.1,2,25,25,2.1,2,
320,0.85,0,44,13091,True,27.4,2,25,25,2.4,1,
320,0.85,0,45,13705,True,27.5,2,26,26,1.5,1,
320,0.85,0,46,13348,True,27.8,2,26,26,1.8,1,
320,0.85,0,47,13517,True,29.2,2,27,27,2.2,1,
320,0.85,0,48,13690,True,28.9,2,27,27,1.9,1,
320,0.85,0,49,13682,True,33.0,2,31,31,2.0,0,
320,0.85,0,50,14414,True,26.4,2,24,24,2.4,0,
320,0.85,0,51,14834,True,25.7,2,24,24,1.7,0,
320,0.85,0,52,15436,True,25.1,2,23,23,2.1,0,
320,0.85,0,53,13483,True,24.6,2,23,23,1.6,0,
320,0.85,0,54,12858,True,25.2,2,23,23,2.2,0,
320,0.85,0,55,15313,True,25.2,2,23,23,2.2,0,
320,0.85,0,56,16779,True,25.2,2,23,23,2.2,0,
320,0.85,0,57,17842,True,25.1,2,23,23,2.1,0,
320,0.85,0,58,18348,True,25.1,2,23,23,2.1,0,
320,0.85,0,59,17708,True,30.9,2,29,29,1.9,0,
320,0.85,0,60,18345,True,24.7,2,23,23,1.7,0,
320,0.85,0,61,18012,True,24.7,2,23,23,1.7,0,
320,0.85,0,62,16786,True,24.9,2,23,23,1.9,0,
320,0.85,0,63,15613,True,26.1,2,24,24,2.1,0,
320,0.85,0,64,15732,True,25.0,2,23,23,2.0,0,
480,0.6,0,5,14693,True,24.8,2,23,23,1.8,0,
480,0.6,0,6,15330,True,24.1,2,22,22,2.1,0,
480,0.6,0,7,19194,True,24.8,2,23,23,1.8,0,
480,0.6,0,8,17464,True,24.3,2,22,22,2.3,0,
480,0.6,0,9,17397,True,23.9,2,22,22,1.9,0,
480,0.6,0,10,17601,True,24.0,2,22,22,2.0,0,
480,0.6,0,11,18088,True,24.0,2,22,22,2.0,0,
480,0.6,0,12,17055,True,24.4,2,22,23,1.4,0,
480,0.6,0,13,17505,True,29.6,2,27,27,2.6,0,
480,0.6,0,14,16862,True,24.9,2,23,23,1.9,0,
480,0.6,0,15,17823,True,24.9,2,23,23,1.9,0,
480,0.6,0,16,17988,True,24.9,2,23,23,1.9,0,
480,0.6,0,17,16967,True,25.7,2,24,24,1.7,0,
480,0.6,0,18,17403,True,24.8,2,23,23,1.8,0,
480,0.6,0,19,16648,True,24.9,2,23,23,1.9,0,
480,0.6,0,20,17503,True,24.4,2,22,22,2.4,0,
480,0.6,0,21,16881,True,29.3,7,23,23,6.3,0,
480,0.6,0,22,16836,True,24.3,2,22,22,2.3,0,
480,0.6,0,23,17397,True,24.6,2,23,23,1.6,0,
480,0.6,0,24,16157,True,24.2,2,22,22,2.2,0,
480,0.6,0,25,17045,True,24.0,2,22,22,2.0,0,
480,0.6,0,26,16873,True,24.7,2,23,23,1.7,0,
480,0.6,0,27,15963,True,24.0,2,22,22,2.0,0,
480,0.6,0,28,16509,True,24.7,2,23,23,1.7,0,
480,0.6,0,29,16267,True,23.9,2,22,22,1.9,0,
480,0.6,0,30,16030,True,23.9,2,22,22,1.9,0,
480,0.6,0,31,14034,True,24.3,2,23,23,1.3,0,
480,0.6,0,32,17612,True,26.9,2,25,25,1.9,1,
480,0.6,0,33,12896,True,25.4,2,24,24,1.4,1,
480,0.6,0,34,13778,True,25.3,2,23,23,2.3,1,
480,0.6,0,35,12957,True,24.9,2,23,23,1.9,1,
480,0.6,0,36,12729,True,25.8,2,24,24,1.8,1,
480,0.6,0,37,12516,True,24.7,2,23,23,1.7,1,
480,0.6,0,38,12044,True,24.9,2,23,23,1.9,1,
480,0.6,0,39,12818,True,24.9,2,23,23,1.9,1,
480,0.6,0,40,12138,True,25.4,2,24,24,1.4,1,
480,0.6,0,41,12680,True,24.8,2,23,23,1.8,1,
480,0.6,0,42,12491,True,24.9,2,23,23,1.9,1,
480,0.6,0,43,12636,True,25.0,2,23,23,2.0,2,
480,0.6,0,44,13279,True,25.1,2,23,23,2.1,1,
480,0.6,0,45,13654,True,26.3,2,24,24,2.3,2,
480,0.6,0,46,12912,True,24.9,2,23,23,1.9,1,
480,0.6,0,47,13846,True,25.0,2,23,23,2.0,1,
480,0.6,0,48,13246,True,25.0,2,23,23,2.0,2,
480,0.6,0,49,14239,True,23.8,2,22,22,1.8,0,
480,0.6,0,50,14553,True,24.3,2,22,23,1.3,0,
480,0.6,0,51,14703,True,26.0,2,24,24,2.0,0,
480,0.6,0,52,17205,True,24.2,2,22,22,2.2,0,
480,0.6,0,53,13069,True,23.7,2,22,22,1.7,0,
480,0.6,0,54,12948,True,24.9,2,23,23,1.9,0,
480,0.6,0,55,17821,True,25.7,2,24,24,1.7,0,
480,0.6,0,56,16665,True,24.7,2,23,23,1.7,0,
480,0.6,0,57,18316,True,29.9,2,28,28,1.9,0,
480,0.6,0,58,18541,True,24.0,2,22,22,2.0,0,
480,0.6,0,59,18222,True,24.6,2,23,23,1.6,0,
480,0.6,0,60,18729,True,24.1,2,22,22,2.1,0,
480,0.6,0,61,18148,True,24.1,2,22,22,2.1,0,
480,0.6,0,62,18026,True,24.0,2,22,22,2.0,0,
480,0.6,0,63,15482,True,23.8,2,22,22,1.8,0,
480,0.6,0,64,16857,True,24.6,2,23,23,1.6,0,
480,0.85,0,5,27554,True,24.5,3,22,22,2.5,0,
480,0.85,0,6,28466,True,26.0,3,24,24,2.0,1,
480,0.85,0,7,35172,True,24.9,3,22,22,2.9,0,
480,0.85,0,8,31713,True,26.6,3,24,24,2.6,1,
480,0.85,0,9,32766,True,24.8,3,22,22,2.8,0,
